1,이승만,68,51,95,214,71.3333333333,50
2,박정희,53,51,81,185,61.6666666667,91
3,김대중,85,55,69,209,69.6666666667,81
4,노무현,54,98,78,230,76.6666666667,52
5,이명박,52,100,87,239,79.6666666667,71
6,박근혜,66,58,65,189,63,50
7,문재인,85,88,65,238,79.3333333333,55
8,홍준표,81,51,63,195,65,63
9,안철수,69,71,73,213,71,97
10,유시민,94,79,100,273,91,53
11,김영삼,54,67,55,176,58.6666666667,60
12,김종인,74,92,94,260,86.6666666667,66
13,정세균,62,82,59,203,67.6666666667,70
14,김부겸,62,55,83,200,66.6666666667,97
15,이낙연,63,93,92,248,82.6666666667,89
16,오세훈,99,95,74,268,89.3333333333,99
17,박원순,95,51,91,237,79,71
18,나경원,89,67,67,223,74.3333333333,54
19,조국,84,98,50,232,77.3333333333,100
20,정진석,83,71,59,213,71,77
21,김성태,88,95,70,253,84.3333333333,65
22,황교안,100,69,87,256,85.3333333333,95
23,심상정,67,91,71,229,76.3333333333,96
24,이정미,69,90,64,223,74.3333333333,75
25,박범계,52,75,90,217,72.3333333333,83
26,김현미,84,61,62,207,69,87
27,유경준,54,68,98,220,73.3333333333,83
28,장제원,78,77,84,239,79.6666666667,86
29,박용진,55,59,96,210,70,97
30,송영길,64,98,97,259,86.3333333333,85
31,유재중,99,84,66,249,83,99
32,김문수,76,76,68,220,73.3333333333,97
33,임미리,68,59,60,187,62.3333333333,67
34,정의당,76,59,58,193,64.3333333333,97
35,김동연,71,84,66,221,73.6666666667,88
36,이학영,89,93,52,234,78,65
37,김종서,96,54,87,237,79,76
38,김상희,58,98,84,240,80,63
39,홍의락,52,90,93,235,78.3333333333,89
40,서영교,99,64,70,233,77.6666666667,78
41,배현진,69,71,58,198,66,80
42,한정애,83,78,64,225,75,67
43,박주민,60,58,75,193,64.3333333333,83
44,김정은,93,78,59,230,76.6666666667,80
45,김기현,88,71,96,255,85,90
46,정봉주,93,95,53,241,80.3333333333,73
47,민경욱,59,89,96,244,81.3333333333,100
48,홍일표,70,87,76,233,77.6666666667,81
49,이상민,93,97,69,259,86.3333333333,59
50,이해찬,55,90,63,208,69.3333333333,80
